numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,1,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,46
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,62
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,1,0,0,90
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,62
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,1,0,0,90
11,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Local,FERRERIES A,1,0,0,0,46
12,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,1,0,28
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,0
14,"SANCHEZ GARAU, ADRIA",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,0
16,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,28
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,44
18,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,0
19,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,FERRERIES A,1,0,0,0,44
13,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,1,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,1,0,0,55
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,46
12,"FEBRER GALMES, NIL",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,90
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,0,0,0,75
16,"MARQUES GOMILA, MARC",FERRERIES A,Titular,Visitante,PLA DE NA TESA A,1,1,0,0,90
1,"CABALLERO MONTES, DAVID",FERRERIES A,Suplente,Visitante,PLA DE NA TESA A,1,0,0,0,0
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Visitante,PLA DE NA TESA A,1,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,PLA DE NA TESA A,1,0,0,0,44
19,"DE HARO OLIVES, FRANCESC",FERRERIES A,Suplente,Visitante,PLA DE NA TESA A,1,0,0,0,35
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Visitante,PLA DE NA TESA A,1,0,0,0,15
