jugador_entra,jugador_sale,Minuto,equipo
"BADJINKA NDIAYE, BUBAKAR","LUNEGRO, BRUNO",58,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","TEJADA RODRIGUEZ, JOAN",58,SAN FRANCISCO B
"CLADERA SOBERATS, LLORENÇ","SALAMANCA GALERA, AITOR",78,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","RIBAS MUÑOZ, SERGI",78,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","BORDOY LEAL, PEDRO",81,SAN FRANCISCO B
"AVOGADRO, TOMMASO","MONTES DOMINGUEZ, ALBERTO",46,U D IBIZA A
"RODRIGUEZ ROIG, ARIAN","ELIAS ARANDIA, SAMUEL ABEL",60,U D IBIZA A
"GARCIA ALBA, JAVIER","TORRES RIERA, LLUC",60,U D IBIZA A
"PERIAÑEZ RODRIGUEZ, DANIEL","VALLS ANIORTE, TARIKU",65,U D IBIZA A
"CUBERO GUASCH, JOAN","BERNASCONI, SANTINO",88,U D IBIZA A
