jugador_entra,jugador_sale,Minuto,equipo
"ASAMOAH ASANTEWAA, DENIS","MONTALBAN ROMERO, MILO JERONIMO",46,PLA DE NA TESA A
"CACERES COMAS, SERGI","MASCARÓ SERVERA, JUAN",75,PLA DE NA TESA A
"MARTINEZ ESPINOSA, DENIS","COULIBALY COULIBALY, MADANE",82,PLA DE NA TESA A
"MESA ZAFRA, CHRISTIAN","NAVARRO BEZARES, JAVIER",82,PLA DE NA TESA A
"PORCEL MARTINEZ, JORDI","MARCANO FLORIAN, SEBASTIAN JESUS",46,PALMA F.C.
"ROMERO ALASSIA, LUCAS T","PELLEGRINO, NICOLA EMANUELE",46,PALMA F.C.
"VILLALONGA GÓMEZ, IKER","CONDE, MAMADI",57,PALMA F.C.
"FOLGADO GARNICA, PAULO","NDIR GUEYE, MOUHAMADOUL LAMIN",68,PALMA F.C.
"ALLENDES SEPULVEDA, MARTIN ALONSO","SAMPOL MARTINEZ, MARC",80,PALMA F.C.
